,Unnamed: 0,questionID,criteria 1,criteria 2,criteria 3,criteria 4,criteria 5,auto 1,auto 2,auto 3,auto 4,auto 5
41,41,64cbdfcdb517122ebabc7006,1,,1,2,,1,,3,2,
42,42,64cbff346ed968df390fbb81,1,,1,,,2,,3,,
43,43,64cbff0e6ed968df390fb9dd,1,,,,,1,,,,
44,44,64cbe2c2462fc41ee8813804,1,,,1,,1,,,2,
45,45,64cbe31b462fc41ee8813844,1,,1,2,,1,,3,2,
46,46,64cbf77b239ed5a2ef5c7319,1,,1,,,1,,3,,
47,47,64cbff2b6ed968df390fbb1f,1,,1,1,,1,,3,2,
48,48,64cbff526ed968df390fbcb3,1,,2,1,,1,,3,2,
49,49,64cbff296ed968df390fbb0d,1,,1,1,,1,,3,2,
50,50,64cbff1a6ed968df390fba6b,,,1,1,,,,3,2,
51,51,64cbe327462fc41ee881384e,,,1,,,,,3,,
52,52,64cbdff6b517122ebabc7022,,,2,,,,,3,,
53,53,64cbe273462fc41ee88137ca,,3,3,,,,1,3,,
54,54,64cbde37d7d2c93ce9c0bd6f,,,1,,,,,3,,
55,55,64cbe1de462fc41ee8813756,,3,3,,,,1,3,,
56,56,64cbe2f7462fc41ee881382a,,,3,1,,,,3,2,
57,57,64cd3ef5cf51bcb2f5e84ba7,,,1,1,,,,3,2,
58,58,64cbff026ed968df390fb95d,,,1,,,,,3,,
59,59,64cbf79a239ed5a2ef5c7337,,,1,,1,,,3,,1
60,60,64cbff2f6ed968df390fbb4d,,,1,,1,,,3,,1
61,61,64cbdeb8d7d2c93ce9c0bdcb,,,1,,,,,3,,
62,62,64cbe386462fc41ee8813896,,,1,,,,,3,,
63,63,64cbe175462fc41ee8813706,,,1,,,,,3,,
64,64,64cbff416ed968df390fbc11,,,1,,,,,3,,
65,65,64cbff0c6ed968df390fb9cf,,,1,,,,,3,,
66,66,64cbf75f239ed5a2ef5c72ff,,,1,,,,,3,,
67,67,64cd3ef6cf51bcb2f5e84ba9,,,1,,,,,3,,
68,68,64cd3eedcf51bcb2f5e84ba1,,,1,,,,,3,,
69,69,64cd3eeacf51bcb2f5e84b9f,,,1,,,,,3,,
70,70,64cd3ee8cf51bcb2f5e84b9d,,,1,,2,,,3,,1
71,71,64cd3ee5cf51bcb2f5e84b99,,,1,,,,,3,,
72,72,64cd3ee3cf51bcb2f5e84b97,,,1,,,,,3,,
73,73,64cd3ee0cf51bcb2f5e84b95,,,1,,,,,3,,
74,74,64cd3edccf51bcb2f5e84b91,,,1,,,,,3,,
75,75,64cd3ed9cf51bcb2f5e84b8f,,1,1,,,,1,3,,
76,76,64cd3e41697b927cbfb0c209,,,1,,,,,3,,
77,77,64cd3e3e697b927cbfb0c207,,1,1,,,,1,3,,
78,78,64cbff5e6ed968df390fbd3b,,,1,,,,,3,,
79,79,64cbff5d6ed968df390fbd37,,,2,2,,,,3,2,
80,80,64cbff5d6ed968df390fbd31,,,1,,,,,3,,
81,81,64cbff5d6ed968df390fbd2f,,,1,,4,,,3,,4
82,82,64cbff5d6ed968df390fbd2d,,,1,,4,,,3,,4
83,83,64cbff5c6ed968df390fbd27,,,1,,,,,3,,
84,84,64cbff5b6ed968df390fbd1f,,,1,,,,,3,,
85,85,64cbff5b6ed968df390fbd1d,,,1,1,,,,3,2,
86,86,64cbff5b6ed968df390fbd17,,,1,,,,,3,,
87,87,64cbff5a6ed968df390fbd13,,,1,,,,,3,,
88,88,64cbf78c239ed5a2ef5c7329,,,,2,,,,,2,
89,89,64cbe3d2462fc41ee88138ce,,,,2,4,,,,2,4
90,90,64cbde31d7d2c93ce9c0bd6b,,,,1,4,,,,1,4
91,91,64cbff406ed968df390fbc0d,,,,2,,,,,2,
92,92,64cbe152462fc41ee88136ec,,,,2,,,,,2,
93,93,64cbe24f462fc41ee88137ae,,,,2,,,,,2,
94,94,64cbe27c462fc41ee88137d2,,,,2,4,,,,2,4
95,95,64cbf8734abbe7f75a6d14de,,,,2,,,,,2,
96,96,64cbe3f7462fc41ee88138e8,,,,2,,,,,2,
97,97,64cbf742239ed5a2ef5c72e3,,,,2,,,,,2,
98,98,64cbff556ed968df390fbcd5,,,,2,,,,,2,
99,99,64cbe2be462fc41ee8813800,,,,2,1,,,,2,1
100,100,64cbddddd7d2c93ce9c0bd2f,,,,2,,,,,2,
101,101,64cbff576ed968df390fbcf3,,,,2,,,,,2,
102,102,64cbdd3bd7d2c93ce9c0bcc5,,,,2,,,,,2,
103,103,64cbff226ed968df390fbabb,,,,2,,,,,2,
104,104,64cbe1d1462fc41ee881374c,,,,1,,,,,2,
105,105,64cbff0c6ed968df390fb9cd,,,,2,1,,,,2,2
106,106,64cbdd90d7d2c93ce9c0bcfd,,,,2,4,,,,2,4
107,107,64cbff4f6ed968df390fbc99,,,,2,,,,,2,
108,108,64cbde3cd7d2c93ce9c0bd73,,,,2,,,,,2,
109,109,64cbf790239ed5a2ef5c732d,,,,1,,,,,2,
110,110,64cbff056ed968df390fb97f,,,,1,1,,,,2,2
111,111,64cbff1e6ed968df390fba93,,,,2,,,,,2,
112,112,64cbff596ed968df390fbd03,,,,1,,,,,2,
113,113,64cbff356ed968df390fbb8d,,,,1,,,,,2,
114,114,64cbe198462fc41ee8813720,,,,1,,,,,2,
115,115,64cbff546ed968df390fbcd1,,,,2,,,,,2,
116,116,64cbf8404abbe7f75a6d14ae,,,,1,,,,,2,
117,117,64cbe15f462fc41ee88136f6,,,,1,,,,,2,
118,118,64cbff2d6ed968df390fbb33,,,,1,1,,,,2,2
119,119,64cbff066ed968df390fb98f,,,,1,,,,,2,
120,120,64cbe0ada284eff4a028e978,,,,1,,,,,2,
121,121,64cbe238462fc41ee881379e,,,,,1,,,,,2
122,122,64cbe10e462fc41ee88136b8,,,,,1,,,,,2
123,123,64cbf7c2239ed5a2ef5c735f,,,,,1,,,,,1
124,124,64cbdda3d7d2c93ce9c0bd0b,,,,,1,,,,,2
125,125,64cbde74d7d2c93ce9c0bd9d,,,,,1,,,,,2
126,126,64cbde33d7d2c93ce9c0bd6d,,,,,1,,,,,2
127,127,64cbe232462fc41ee8813798,,,,,2,,,,,2
128,128,64cbff3b6ed968df390fbbcd,,,,,1,,,,,1
129,129,64cbff556ed968df390fbcd9,,,,,1,,,,,1
130,130,64cbe3e2462fc41ee88138da,,,,,1,,,,,2
131,131,64cbff4a6ed968df390fbc6b,,,,,1,,,,,1
132,132,64cbf8294abbe7f75a6d149a,,,,,1,,,,,1
133,133,64cbff226ed968df390fbac3,,,,,2,,,,,2
134,134,64cbff326ed968df390fbb71,,,,,1,,,,,1
135,135,64cbff406ed968df390fbc03,,,,,1,,,,,1
136,136,64cbde6ad7d2c93ce9c0bd95,,,,,2,,,,,2
137,137,64cbff496ed968df390fbc5d,,,,,2,,,,,1
138,138,64cbff2c6ed968df390fbb2d,,4,,,2,,1,,,2
139,139,64cbff446ed968df390fbc35,,4,,,2,,1,,,2
140,140,64cbff2c6ed968df390fbb2b,,,,,2,,,,,2
141,141,64cbde29d7d2c93ce9c0bd67,,,,,4,,,,,2
142,142,64cbe2ef462fc41ee8813824,,1,,,4,,1,,,4
143,143,64cbe319462fc41ee8813842,,,,,4,,,,,4
144,144,64cbf7c7239ed5a2ef5c7363,,,,,4,,,,,4
145,145,64cbf8684abbe7f75a6d14d4,,,,,4,,,,,4
146,146,64cbe023b517122ebabc7046,,,,,4,,,,,4
147,147,64cbff566ed968df390fbce3,,,,,4,,,,,4
148,148,64cbff296ed968df390fbb09,,,,,4,,,,,4
149,149,64cbe170462fc41ee8813700,,,,,4,,,,,4
150,150,64cbf7b4239ed5a2ef5c7351,,,,,4,,,,,4
151,151,64cbff096ed968df390fb9a5,,,,,4,,,,,4
152,152,64cbf787239ed5a2ef5c7325,,,,,4,,,,,4
153,153,64cbff586ed968df390fbcf9,,,,,4,,,,,4
154,154,64cbff026ed968df390fb961,,,,,4,,,,,4
155,155,64cbdd71d7d2c93ce9c0bce5,,2,,,,,2,,,
156,156,64cbdd7ad7d2c93ce9c0bceb,,1,,,,,2,,,
157,157,64cbddabd7d2c93ce9c0bd11,,1,,,,,2,,,
158,158,64cbdeb2d7d2c93ce9c0bdc9,,3,,,,,1,,,
159,159,64cbdfdfb517122ebabc7012,,1,,,,,1,,,
160,160,64cbdfe2b517122ebabc7014,,3,,,,,1,,,
161,161,64cbe002b517122ebabc702c,,3,,,,,1,,,
162,162,64cbe0c5a284eff4a028e98c,,2,,,,,2,,,
163,163,64cbe1b4462fc41ee8813734,,3,,,,,2,,,
164,164,64cbe1cf462fc41ee881374a,,3,,,,,1,,,
165,165,64cbe2da462fc41ee8813814,,1,,,,,1,,,
166,166,64cbe33b462fc41ee881385c,,1,,,,,2,,,
167,167,64cbe346462fc41ee8813864,,1,,,,,1,,,
168,168,64cbf8394abbe7f75a6d14a8,,1,,,,,2,,,
169,169,64cbe3ef462fc41ee88138e2,,1,,,,,1,,,
170,170,64cbe41a462fc41ee8813904,,2,,,,,2,,,
171,171,64cbf8244abbe7f75a6d1494,,3,,,,,1,,,
172,172,64cbe226462fc41ee881378e,,3,,,,,1,,,
173,173,64cbff046ed968df390fb971,,1,,,,,1,,,
174,174,64cbe16d462fc41ee88136fe,,4,,,,,1,,,
175,175,64cbff116ed968df390fba07,,2,,,,,2,,,
176,176,64cbe0baa284eff4a028e982,,2,,,,,1,,,
177,177,64cbff186ed968df390fba57,,1,,,,,1,,,
178,178,64cbff196ed968df390fba59,,1,,,,,1,,,
179,179,64cbff266ed968df390fbae5,,1,,,,,2,,,
180,180,64cbff266ed968df390fbae9,,1,,,,,2,,,
181,181,64cbff2a6ed968df390fbb19,,1,,,,,2,,,
182,182,64cbff2d6ed968df390fbb39,,1,,,,,2,,,
183,183,64cbff2f6ed968df390fbb4b,,1,,,,,2,,,
184,184,64cbff366ed968df390fbb99,,1,,,,,1,,,
185,185,64cbff3e6ed968df390fbbef,,4,,,,,1,,,
186,186,64cbff426ed968df390fbc21,,1,,,,,1,,,
187,187,64cbff506ed968df390fbca1,,1,,,,,1,,,
188,188,64cd3e45697b927cbfb0c20d,,1,,,,,1,,,
189,189,64cbf74a239ed5a2ef5c72eb,,3,,,,,2,,,
190,190,64cbf8594abbe7f75a6d14c6,,3,,,,,1,,,
191,191,64cbf739239ed5a2ef5c72db,,2,,,,,1,,,
